ID,Label,Definition,Definition Source,See Also,Editor,RDF Type,Class Type,Parent IRI,Domain,Range,property assertion
ID,A rdfs:label,A IAO:0000115,A IAO:0000119,A rdfs:seeAlso,A IAO:0000117,TYPE,CLASS_TYPE,C %,DOMAIN,RANGE,I defines
IAO:0000030,information content entity,,,,,owl:Class,subclass,BFO:0000031,,,
curato:0000088,logical axiom,logical axiom is a rule defined in semantic model to allow for classification by automatic reasoners,,,Philippe Rocca-Serra,owl:Class,subclass,information content entity,,,
IAO:0000055,rule,,,,Philippe Rocca-Serra,owl:Class,subclass,information content entity,,,
curato:0000089,functional rule,a rule which details the specific action which should be performed when a number of conditions are met,,,Philippe Rocca-Serra,owl:Class,subclass,IAO:0000001,,,
curato:0000090,curation rule,"a rule which explains how to perform a specific curation action (for instance, a numeric conversion or a string replacement)",,,Philippe Rocca-Serra,owl:Class,subclass,rule,,,
curato:0000091,regular expression,"A regular expression, regex or regexp (sometimes called a rational expression) is a sequence of characters that define a search pattern.",https://en.wikipedia.org/wiki/Regular_expression,,Philippe Rocca-Serra,owl:Class,subclass,rule,,,
curato:0000092,mapping rule,a rule which explain how to relate one entity from a domain knowledge to another entity in another domain knowledge,,,Philippe Rocca-Serra,owl:Class,subclass,rule,,,
curato:0000093,metric,,,,Philippe Rocca-Serra,owl:Class,subclass,IAO:0000001,,,
curato:0000094,quality metric,,,,Philippe Rocca-Serra,owl:Class,subclass,IAO:0000001,,,
IAO:0000109,measurement datum,,,,,owl:Class,subclass,information content entity,,,
STATO:0000416,precision,,,,Philippe Rocca-Serra,owl:Class,subclass,measurement datum,,,
STATO:0000233,recall,,,,Philippe Rocca-Serra,owl:Class,subclass,measurement datum,,,
STATO:0000282,F-measure,,,,Philippe Rocca-Serra,owl:Class,subclass,measurement datum,,,
IAO:0000300,textual entity,,,,Philippe Rocca-Serra,owl:Class,subclass,IAO:0000030,,,
curato:0000095,ontology tagged entity,a textual entity associated with a semantic annotation in the form of an identifier corresponding to a term in an ontology,,,Philippe Rocca-Serra,owl:Class,subclass,textual entity,,,
curato:0000096,normalized textual entity,a textual entity which has been regularized through a curation process involving data transformation such as markup or substitution,,,Philippe Rocca-Serra,owl:Class,subclass,textual entity,,,
curato:0000097,file format,,,,Philippe Rocca-Serra,owl:Class,subclass,information content entity,,,
curato:0000098,propriatory file format,a file format specification whose rights are only available to the owner and creator of the said specifications,,,Philippe Rocca-Serra,owl:Class,subclass,file format,,,
curato:0000099,open file format,"a file format whose specifications are available freely, with no restriction, allow full appraisal and review",,,Philippe Rocca-Serra,owl:Class,subclass,file format,,,
curato:0000100,standard compliant file format,a file format which complies with a specification,,,Philippe Rocca-Serra,owl:Class,subclass,file format,,,
curato:0000101,data standard,a data standard is a information content entity which prescribe syntax or semantic or both  for a given domain knowledge,Philippe Rocca-Serra,,Philippe Rocca-Serra,owl:Class,subclass,information content entity,,,
curato:0000102,template,"a standardized non-executable file type used by computer software as a pre-formatted example on which to base other files, especially documents",https://en.wikipedia.org/wiki/Template_(file_format),,Philippe Rocca-Serra,owl:Class,subclass,information content entity,,,
curato:0000103,transformation template,a template devised as a blueprint for operation such as extract transform load or similar data transformations,Philippe Rocca-Serra,,Philippe Rocca-Serra,owl:Class,subclass,template,,,
curato:0000104,metadata acquisition template,a template devised for a regularized collection of annotation.,Philippe Rocca-Serra,,Philippe Rocca-Serra,owl:Class,subclass,template,,,
curato:0000105,data acquisition template,a template devised for a regularized collection of annotated datasets,,,Philippe Rocca-Serra,owl:Class,subclass,template,,,
curato:0000106,RDF triple store,"is a purpose-built database for the storage and retrieval of triples[1] through semantic queries. A triple is a data entity composed of subject-predicate-object, like ""Bob is 35"" or ""Bob knows Fred"".",https://en.wikipedia.org/wiki/Triplestore,,Philippe Rocca-Serra,owl:Class,subclass,information content entity,,,
curato:0000107,knowledge model,knowledge model is an information content entity which corresponds to a representation of domain of human,,,Philippe Rocca-Serra,owl:Class,subclass,information content entity,,,
curato:0000108,object model,An entity–relationship model (or ER model) describes interrelated things of interest in a specific domain of knowledge.,https://en.wikipedia.org/wiki/Conceptual_model#Data_models,,Philippe Rocca-Serra,owl:Class,subclass,knowledge model,,,
curato:0000109,uml model,an object model following unified modeling language formalization,https://en.wikipedia.org/wiki/Entity%E2%80%93relationship_model,,Philippe Rocca-Serra,owl:Class,subclass,knowledge model,,,
curato:0000110,semantic data model,Semantic data model is a high-level semantics-based database description and structuring formalism (database model) for databases. This database model is designed to capture more of the meaning of an application environment than is possible with contemporary database models.,https://en.wikipedia.org/wiki/Semantic_data_model,,Philippe Rocca-Serra,owl:Class,subclass,knowledge model,,,
IAO:0000010,software,,,,,owl:Class,subclass,IAO:0000104,,,
curato:0000111,statistical model,"A statistical model is a mathematical model that embodies a set of statistical assumptions concerning the generation of sample data (and similar data from a larger population). A statistical model represents, often in considerably idealized form, the data-generating process.",https://en.wikipedia.org/wiki/Statistical_model,,Philippe Rocca-Serra,owl:Class,subclass,information content entity,,,
curato:0000112,talend,"a software suite for business intelligence, data wrangling and data mining",,,Philippe Rocca-Serra,owl:Class,subclass,software,,,
curato:0000113,tamr,a software service for performing curation services powered by machine learning techniques.,,,Philippe Rocca-Serra,owl:Class,subclass,software,,,
curato:0000114,trifacta,"a software suite for business intelligence, data wrangling and data mining",,,Philippe Rocca-Serra,owl:Class,subclass,software,,,
curato:0000115,google refine,a software service for data curation and data cleanup provided by Google software company,,,Philippe Rocca-Serra,owl:Class,subclass,software,,,
curato:0000116,google bigtable,a software service for data storage and data mining provided by Google software company,,,Philippe Rocca-Serra,owl:Class,subclass,software,,,
curato:0000117,amazon comprehend,a software service for data curation and data cleaning provided by Amazon software company,,,Philippe Rocca-Serra,owl:Class,subclass,software,,,
curato:0000118,amazon redshift,a software service for data storage and data mining provided by Amazon software company,,,Philippe Rocca-Serra,owl:Class,subclass,software,,,
